,Text,Language
1228,ಕೆಲವೊಮ್ಮೆ ನೀವು ನನ್ನನ್ನು ಮಾರಿದ್ದೀರಿ ಎಂದು ನಾನು ಪ್ರೀತಿಸುತ್ತೇನೆ ಏಕೆಂದರೆ ಕೆಲವೊಮ್ಮೆ ಜನರು ತಮ್ಮ ಪ್ರವಾಸವನ್ನು ಅಥವಾ ಅವರು ಖರೀದಿಸಿದ ಯಾರನ್ನಾದರೂ ವಿವರಿಸುತ್ತಾರೆ ಮತ್ತು ಅವರು ಅದನ್ನು ಚೆನ್ನಾಗಿ ವಿವರಿಸುತ್ತಾರೆ.,Kannada
523,എനിക്ക് വേണ്ടത്ര നന്ദി പറയാൻ കഴിയില്ല.,Malayalam
1453,"శాస్త్ర విజ్ఞాన- సాంకేతిక విజ్ఞాన మంత్రిత్వ శాఖ కోవిడ్-19 ని తుదముట్టించడానికి మాస్కుల ప్రమాణాల పెంపు . మూడు పొరల వైద్య మాస్కులు, ఎన్-95 రెస్పిరేటర్లకు యాంటీ-వైరల్ నానో-పూత అత్యంత ప్రమాద హేతువులైన పరిస్థితులను ఎదుర్కొనే అదనపు రక్షణ కవచాన్ని సమకూర్చే లక్ష్యంతో పీపీఈ, మాస్కులు తదితర తొడుగులపై అత్యంత ప్రభావాన్ని చూపే యాంటీమైక్రోబియల్ సూక్ష్మ కణాలు : డిఎస్టి కార్యదర్శి ప్రొఫెసర్ అశుతోష్ శర్మ నానో మిషన్ లో భాగంగా, ఢిల్లీ ఐఐటీ కి చెందిన ప్రొఫెసర్ అశ్విని కుమార్ అగర్వాల్ అభివృద్ధి చేసిన యాంటీ-వైరల్ నానో పూత ప్రమాణాలు పెంచేలా సరైన పదార్థాన్ని వినియోగించడానికి, అటువంటి పదార్థంతో కోవిడ్-19 ని ఎదుర్కొనే మూడు పొరల మెడికల్ మాస్కులు, ఎన్-95 రెస్పిరేటర్ల భారీ ఎత్తున ఉత్పత్తి చేయడానికి సైన్స్ అండ్ టెక్నాలజీ విభాగం ఆమోదం తెలిపింది.",Telugu
856,"அதே விஷயத்தைச் சொல்வதற்கான மற்றொரு வழி, கடினமாக உழைப்பது போன்ற உங்கள் விளையாட்டை முடுக்கிவிடுங்கள்.",Tamil
1257,ನಾನು ಬಳಸುವ ಧ್ವನಿಯನ್ನು ಒಳಗೊಂಡಂತೆ ನನ್ನ ಉಚ್ಚಾರಣೆಯನ್ನು ನಿಖರವಾಗಿ ನಕಲಿಸಲು ಪ್ರಯತ್ನಿಸಿ.,Kannada
772,"எனவே நீங்கள் ஒருவரைச் சந்திக்கிறீர்கள், அது எப்படிப் போகிறது?",Tamil
855,"யாரோ ஒருவர் நன்றாக வேலை செய்யவில்லை என்றால் நீங்கள் ராக் செய்கிறீர்கள், மேலும் அவர்கள் கடினமாக உழைக்க வேண்டும் என்று நீங்கள் விரும்புகிறீர்கள், நீங்கள் ஒரு கூடுதல் மைல் செல்ல வேண்டும் என்று சொல்லலாம், அதாவது கடினமாக உழைப்பது போல நீங்கள் ஒரு கூடுதல் மைல் செல்ல வேண்டும்.",Tamil
1727,కొత్‌ఖై ఎలా చేరుకోవాలి ?,Telugu
1997,చూసేందుకే భలే తమాషాగా ఉంది.,Telugu
1321,ಯೋಜನೆ ರೂಪಿಸುತ್ತಿದ್ದೇನೆ.,Kannada
1718,ఇందులో హీరోయిన్ గా .,Telugu
1108,ಪರೀಕ್ಷೆಯಲ್ಲಿ ಒಂದೇ ಪ್ರಶ್ನೆಗೆ ಉತ್ತರಿಸಲು ಅಥವಾ ನಿಷ್ಠುರ ಮನುಷ್ಯನಿಗೆ ಮೂಲಭೂತ ಸೂಚನೆಗಳನ್ನು ಅರ್ಥಮಾಡಿಕೊಳ್ಳಲು ಕಷ್ಟವಾಯಿತು ಈಗ ದೈನಂದಿನ ಜೀವನದಲ್ಲಿ ನಿಮ್ಮ ಪರಿಸ್ಥಿತಿಯಲ್ಲಿ ನಿಮ್ಮ ಗೆಳೆಯ ಅಥವಾ ನಿಮ್ಮ ಗೆಳತಿ ನಿಮ್ಮ ಮೇಲೆ ಕೋಪಗೊಂಡಿದ್ದಾರೆ ಮತ್ತು ನೀವು ಯಾಕೆ ಹಾಗೆ ಮಾಡಬಹುದು ಎಂದು ನಿಮಗೆ ತಿಳಿದಿಲ್ಲ.,Kannada
1665,"వారికి కుమార్తె రిద్దిమా, కుమారుడు రణబీర్ కపూర్ బాలీవుడ్ నటుడు.",Telugu
1959,అంతేకాదు ఆమె కావాలని అలా మాట్లాడి ఉండదని కూడా చెప్పాడు.,Telugu
1524,"కాగా, పోలీసులు సెల్ ఫోన్ డేటా రికవరీ చేశారు.",Telugu
352,നിങ്ങൾ അവനോട് സംസാരിക്കാൻ ആഗ്രഹിക്കുന്ന ഒരു വ്യക്തിയുടെ പേര് ഇല്ലെങ്കിൽ കാര്യങ്ങൾ അസ്വസ്ഥമാകരുത്.,Malayalam
1109,ಅವರಿಗೆ ಹೇಳು ಬಹುಶಃ ನಾನು ಚತುರನಾಗಿರುತ್ತೇನೆ ಆದರೆ ನೀವು ಯಾಕೆ ತುಂಬಾ ಅಸಮಾಧಾನ ಹೊಂದಿದ್ದೀರಿ ಎಂದು ನನಗೆ ತಿಳಿದಿಲ್ಲ ಸ್ಮಾರ್ಟ್ ವರ್ಡ್ ನಂಬರ್ 10 ನಿಧಾನಗತಿಯ ನಿಧಾನಗತಿಯ ಎಂದರೆ ನಿಧಾನಗತಿಯಲ್ಲಿ ಸಾಗುವುದು ಎಂದರೆ ನಿಧಾನಗತಿಯ ವೇಗದಲ್ಲಿರಲು.,Kannada
1733,ఇదో ఛాలెంజ్‌ నాకు.,Telugu
344,ഞാൻ ' ഞാൻ എന്തായാലും അലക്കു പോകാൻ പോകുന്നു.,Malayalam
180,"മലയാളത്തിനു ശേഷം 2003-ഫെബ്രുവരിയിൽ‍ ബീഹാറി, മെയ് 2003-നു മറാഠി, ജൂൺ 2003-നു കന്നഡ, ജൂലൈ 2003-നു ഹിന്ദി, സെപ്റ്റംബർ 2003-നു തമിഴ്, ഡിസംബർ 2003-നു തെലുഗ്, ഗുജറാത്തി, ജനുവരി 2004-നു ബംഗാളി എന്നിങ്ങനെ വിവിധ ഇന്ത്യൻ ഭാഷകളിൽ ഉള്ള വിക്കിപീഡിയകൾ ആരംഭിച്ചു.",Malayalam
1180,ನಾನು ಚೆನ್ನಾಗಿರುತ್ತೇನೆ.,Kannada
670,"தொகுப்புக்கள் அதிகரிப்பதன் காரணமாக, ‘அண்மைய மாற்றங்கள்’ பகுதியில், சில தொகுப்புக்கள் இடம்பெற முடியாமல் போவதே இதற்குக் காரணமாகும்.",Tamil
1024,"நான் எழுந்தேன் அவள் எல்லோரும் புன்னகைக்கிறாள், இங்கே கிகில்ஸ் நீங்கள் என்ன கனவு கண்டீர்கள் என்று சொல்லுங்கள்.",Tamil
308,നിങ്ങള്ക്ക് എങ്ങനെ അറിയാം?.,Malayalam
168,ഒരു ബാങ്ക്‌ ജീവനക്കാരൻ ബാങ്കിങ് മേഖലയെ കുറിച്ചും സ്വന്തം ബാങ്കിന്റെ ചരിത്രവും; ഒരു ഡിഗ്രിവിദ്യാർത്ഥി അവൻ പഠിക്കുന്ന വിഷയത്തിലെ ചില വാക്കുകൾ എന്താണെന്ന്‌ നിർവ്വചിക്കുന്നു.,Malayalam
792,நீங்கள் எந்த கவலையும் இல்லை என்று சொல்லலாம்.,Tamil
1337,ನೀವು ಮಾಡಲಿಲ್ಲ ಎಂದು ನಾನು ಬಯಸುತ್ತೇನೆ.,Kannada
970,நான் விரும்பவில்லை.,Tamil
894,என்ன விஷயம்?,Tamil
1717,మరోమార్గం చూసుకోవాలి,Telugu
263,"മീറ്റിംഗ് അല്ലെങ്കിൽ തീയതി എന്ന് പറയാനുള്ള വളരെ ഫ്രഞ്ച് മാർഗമാണ്, ഉദാഹരണത്തിന് ശനിയാഴ്ച ഉച്ചഭക്ഷണത്തിന് എന്റെ സുഹൃത്തുക്കളുമായി എനിക്ക് കൂടിക്കാഴ്‌ചയുണ്ട് അല്ലെങ്കിൽ സിനിമകൾക്കായി മാളിൽ എന്റെ സുഹൃത്തുക്കളുമായി കൂടിക്കാഴ്‌ച നടത്താൻ ഞാൻ പദ്ധതിയിടുന്നു റെൻഡെജൂസ് ഒരു നാമപദമായി അല്ലെങ്കിൽ ക്രിയയായി ഉപയോഗിക്കാം ഉദാഹരണത്തിന്.",Malayalam
812,உங்கள் காபியை என் மேல் விட்டால் கவலைப்பட வேண்டாம் என்பது ஒரு பொருட்டல்ல.,Tamil
895,உங்களை சந்தித்ததில் மகிழ்ச்சி.,Tamil
1891,వైద్యుడికి ఫోన్,Telugu
862,நீங்கள் உட்கார்ந்திருப்பதைப் போல நீங்கள் குறைவாக கவலைப்பட முடியவில்லை என்று சொல்லலாம் இது மிகவும் சலிப்பாக இருக்கிறது.,Tamil
286,"ശരിയായ രീതിയിൽ പദം ഗൂഗിളിലേക്ക് പോയി പദം ടൈപ്പുചെയ്യുക, മുകളിൽ തിരയലിൽ നിങ്ങൾ ഒരു ചെറിയ സ്പീക്കർ ഐക്കൺ ആ സ്പീക്കറിൽ ക്ലിക്കുചെയ്യുന്നത് കാണും.",Malayalam
1838,రెండు క్షిపణులు ప్రయోగించిన ఉ.,Telugu
1158,ನೀವು ಚಿಂತಿಸಬೇಡಿ ಎಂದು ಹೇಳಬಹುದು.,Kannada
1816,"""ఇది """"అక్వేరియం"""" అంటారు.""",Telugu
1284,"""ನನಗೆ ಗೊತ್ತಿಲ್ಲ"" ಎಂದು ಹೇಳುವುದು.",Kannada
1463,ఈ పాటకు సంబందించిన టీజర్ని తాజాగా విడుదల చేశాడు.,Telugu
1825,ఆమె ఆరోగ్యం బాగానే ఉందని తెలిపారు.,Telugu
532,ഞാൻ നിങ്ങളോടൊപ്പം ഉണ്ടാകും.,Malayalam
1634,దీంతో ఈ చిత్రంపై అంచనాలు పెరిగిపోతూ వస్తున్నాయి.,Telugu
466,ഞാൻ വിയോജിക്കുന്നു എന്ന് ഞാൻ ഭയപ്പെടുന്നു.,Malayalam
484,ഇന്ന് രാത്രി നിങ്ങൾ എന്താണ് ചെയ്യുന്നത്?,Malayalam
640,"2002 ஆம் ஆண்டின் பிற்பகுதியில் 26 மொழிகளிலும், 2003 ஆம் ஆண்டு முடிவில் 46 மொழிகளிலும் வளர்ந்த விக்கிப்பீடியா, 2004 ஆம் ஆண்டின் முடிவில் 161 மொழிகளில் இயங்கும் கலைக்களஞ்சியமாக உயர்ந்தது.",Tamil
2015,ఈ కార్య‌క్ర‌మంలో భాగంగా 2020 సంవ‌త్స‌రానికి గాను ప్రొఫెసర్ పి.సి. మహాలనోబిస్ జాతీయ అవార్డు గ్రహీతను సత్కరించనున్నారు.,Telugu
1789,సెంటర్ ఫర్ పర్సనల్ టాలెంట్ మేనేజ్‌మెంట్-CEPTAM ద్వారా ఈ పోస్టుల్ని భర్తీ చేయనుంది.,Telugu
909,அது ஒரு நல்ல கேள்வி.,Tamil
922,நீ அதை பற்றி என்ன நினைக்கிறாய்?,Tamil
291,ഹായ് സഞ്ചി ഈ വീഡിയോയിൽ എന്റെ ചാനലിലേക്ക് സ്വാഗതം.,Malayalam
195,മാർഗദർശിത യന്ത്രപഠനത്തിൽ മുൻപുള്ള ഉദാഹരണങ്ങളിലെ ഇൻപുട്ട് ഔട്പുട്ട് ബന്ധങ്ങൾ യന്ത്രത്തിൻറെ പരിശീലന ഘട്ടത്തിൽ ലഭ്യമായിരിക്കണം.,Malayalam
1032,"அது அருமையாக இருக்கும், நான் யூகித்தாலும் அவள் கற்றுக் கொள்வாள், வேறு ஒன்றைப் பற்றி பேசலாம்.",Tamil
1869,"( బి) మొక్కుబడుల గురించి ద్వితీయోపదేశకాండము 23: 21, 23. కీర్తన 15: 4 లేఖనాల నుండి మనమేమి నేర్చుకోవచ్చు?",Telugu
144,വാൻഡലിസം കാണിക്കുന്ന ഉപയോക്താവിന് അങ്ങനെ ചെയ്യരുത് എന്ന് മറ്റു വിക്കിപീഡിയർ താക്കീതു കൊടുക്കുന്നു.,Malayalam
383,നിങ്ങൾ റോക്ക് യു റോക്ക്?,Malayalam
1708,కానిస్టేబుల్ ఫిర్యాదు మేరకు పోలీసులు కేసు నమోదు చేసి నిందితుడుని అరెస్టు చేసి రిమాండ్ కు తరలించారు.,Telugu
1068,ಜೌಗು ಒಂದು ಗದ್ದೆ ಮತ್ತು ಯಾರಾದರೂ ಜೌಗು ಪ್ರದೇಶದ ಮೇಲೆ ತಪ್ಪಾದ ಸ್ಥಳದಲ್ಲಿ ಹೆಜ್ಜೆ ಹಾಕಿದರೆ ಅವರು ಸುಲಭವಾಗಿ ಮುಳುಗಬಹುದು ಮತ್ತು ಜೌಗು ಕ್ರಿಯಾಪದವು ಮುಳುಗುವುದು ಎಂದರ್ಥ ಆದ್ದರಿಂದ ನೀವು ಈ ಪದವನ್ನು ಹೇಗೆ ಬಳಸಬಹುದು.,Kannada
86,നിരൂപണങ്ങൾ വിക്കിപീഡിയയിൽ ഉണ്ടാവില്ലെന്നർത്ഥം.,Malayalam
1238,ಇದು ನನ್ನ ತಪ್ಪು.,Kannada
292,നിങ്ങളുടെ ദൈനംദിന ജീവിതത്തിൽ ഉപയോഗിക്കാൻ കഴിയുന്ന മികച്ച 50 ഇംഗ്ലീഷ് ശൈലികൾ ഞാൻ നിങ്ങൾക്ക് നൽകും.,Malayalam
715,மூன்றாம் எண் suave suave suave என்றால் கண்ணியமான குளிர்ச்சியாக இருக்க அதிநவீனமாக இருக்க வேண்டும்.,Tamil
122,"സാധാരണ മനുഷ്യർക്കിടയിൽ അവരിലൊരാളായി, അവർ ചെയ്യുന്ന പണികളിലേതെങ്കിലും ചെയ്താണ് വിക്കിപീഡിയരുടെ ജീവിതവും മുന്നോട്ടുപോകുന്നത്.",Malayalam
1937,150 డ్రోన్ కెమెరాల సహాయంతో బ్రహ్మాస్త్ర లోగోను ఆకాశంలో ఆవిష్కరించడం విశేషం.,Telugu
233,എന്റെ പ്ലേറ്റിൽ വളരെയധികം കാര്യങ്ങൾ ഞാൻ ജോലിയിൽ മുങ്ങുന്നു.,Malayalam
1565,ఈ కిడ్నాప్ కేసులో మాజీ మంత్రి భూమా అఖిలప్రియ అరెస్టై జైల్లో ఉంది.,Telugu
638,"[42] விக்கிப்பீடியாவின் ஆரம்ப காலத்தில், நுபீடியா, ஸ்லாஷ்டாட் (en:Slashdot) பதிவுகள், வலை தேடு பொறி குறியீட்டு ஆக்கங்கள் போன்றவற்றிலிருந்து பங்களிப்புகளைப் பெற்றுக் கொண்டது.",Tamil
333,നിങ്ങൾക്ക് ക്ഷമിക്കണം എന്ന് പറയാൻ കഴിയും.,Malayalam
740,"அல்லது மங்கலான அறிவுள்ள நீங்கள் இப்போது வடிவியல் obtuse கோணத்திலும் கடுமையான கோணத்திலும் obtuse என்ற வார்த்தையை கேள்விப்பட்டிருக்கிறீர்கள், எனவே ஒரு obtuse கோணம் 90 டிகிரிக்கு மேல் ஆனால் 180 டிகிரிக்கு குறைவாக இருக்கும்.",Tamil
336,ഓ എന്റെ ദൈവമേ.,Malayalam
1216,ಅಸಮಾಧಾನಗೊಳ್ಳಬೇಡಿ ಎಂದು ಹೇಳಲು ಯಾರನ್ನಾದರೂ ಹುರಿದುಂಬಿಸಲು ನಿಮಗೆ ಮತ್ತೆ ಪಠ್ಯ ಮಾಡಿ ನೀವು ಯಾಕೆ ಅಳುತ್ತಿದ್ದೀರಿ ಎಂದು ಅದು ಯೋಗ್ಯವಾಗಿಲ್ಲ ಎಂದು ಹೇಳಬಹುದು?,Kannada
1280,ಕ್ಷಮಿಸಿ?,Kannada
904,தொடர்பில் இரு.,Tamil
2010,అయితే మల్లిక దానిపై ఇంకా ఎలాంటి నిర్ణయం తీసుకోలేదని తెలుస్తోంది.,Telugu
1309,ನಾನು ಇಲ್ಲಿಗೆ ಜಿಗಿದರೆ ನಿಮಗೆ ಮನಸ್ಸಿಲ್ಲವೇ?,Kannada
1854,దాంతో ఆ సినిమా కోసం జనం ఎగబడ్డారు.,Telugu
296,"ആരംഭിക്കുന്നതിനുള്ള ഏറ്റവും മികച്ച വീഡിയോ ഇതാണ്, അതിനാൽ 10 മിനിറ്റിനുള്ളിൽ ഇംഗ്ലീഷിൽ 50 ശൈലികൾ പോകാം.",Malayalam
243,"അവൻ വളരെ സന്നദ്ധനാണ്, പ്രത്യേകിച്ച് സ്ത്രീകൾക്ക് മുന്നിൽ അല്ലെങ്കിൽ ബരാക് ഒബാമ വളരെ ആകർഷകവും മിനുസമുള്ളതുമാണ്, നിങ്ങൾ അടുത്ത തവണ ഒരു പാർട്ടിയിൽ പങ്കെടുക്കുമ്പോൾ ഇപ്പോൾ ഓർക്കുക, അങ്ങനെയുള്ള ഈ വ്യക്തിയെ നിങ്ങൾ കാണുന്നു.",Malayalam
655,"ஒவ்வொரு மொழிப்பதிப்பும் வெவ்வேறு நிர்வாகக் கட்டுப்பாடுகளைக் கொண்டிருப்பதுடன், இக்கொள்கைகளிலும் திருத்தங்களைக் கொண்டுவரலாம்.",Tamil
858,"அது உங்களை மூழ்கடிப்பது போல் மூழ்கிவிடும், அதாவது உங்களை நீங்களே ஒன்றாக இழுத்து, உங்களை ஒன்றாக இழுக்கவும்.",Tamil
365,"ഓ, ഇത് മിക്കവാറും ഭ്രാന്തൻ പോലെയാണ്.",Malayalam
1283,"ನೀವು ಸ್ವಲ್ಪ ನಿಧಾನವಾಗಿ ಮಾತನಾಡಬಲ್ಲಿರಾ, ದಯವಿಟ್ಟು?",Kannada
1293,"ನನ್ನ ಮಟ್ಟಿಗೆ, ಇದು ಪಟ್ಟಣದ ಅತ್ಯುತ್ತಮ ರೆಸ್ಟೋರೆಂಟ್ ಆಗಿದೆ.",Kannada
366,"നേറ്റീവ് സ്പീക്കറുകൾ ഉപയോഗിക്കുന്ന നിങ്ങൾക്ക് നല്ലതാണെന്ന മറ്റൊരു വാചകം ഞാൻ വിശദീകരിച്ചു, എനിക്ക് സ്ഥാനക്കയറ്റം ലഭിച്ചുവെന്ന് നിങ്ങൾ പറയുമ്പോൾ ഇത് പോസിറ്റീവും നെഗറ്റീവും ആകാം, അവർ നിങ്ങൾക്ക് നല്ലത് പറഞ്ഞാൽ അഭിനന്ദനങ്ങൾ ഇഷ്ടപ്പെടുകയും ചിലപ്പോൾ ഞാൻ ഈ സ്ഥലം വിടുകയാണെന്ന് നിങ്ങൾ പറയുകയും ചെയ്യുന്നു.",Malayalam
141,"വൃത്തിയാക്കൽ, തങ്ങളുടെ സൃഷ്ടികളേയും മറ്റും സംരക്ഷിക്കുക, എന്നീ ജോലികൾക്കു പുറമേ വിക്കിപീഡിയർ നിയോഗിക്കുന്ന സിസോപ്പുകളേയും മറ്റു ബ്യൂറോക്രാറ്റുകളേയും അത്തരത്തിൽ മാറ്റുക, വിക്കിപീഡിയയുടെ സ്രോതസ്സ് രൂപത്തിൽ എന്തെങ്കിലും മാറ്റം വരുത്തുക എന്നീ കാര്യങ്ങളും ബ്യൂറോക്രാറ്റുകൾ ചെയ്യുന്നു.",Malayalam
1371,ಕ್ಷಮೆಯಾಚಿಸುತ್ತಿದೆ.,Kannada
50,ലാഭേച്ഛകൂടാതെ പ്രവർത്തിക്കുന്ന വിക്കിമീഡിയ ഫൗണ്ടേഷൻ എന്ന സ്ഥാപനമാണ് ഇപ്പോൾ വിക്കിപീഡിയയെ നിയന്ത്രിക്കുന്നത്.,Malayalam
1978,"కాంగ్రెస్ ఉపాధ్యక్షుడు రాహుల్ గాంధీ రాష్ట్రీయ స్వయం సేవక్ సంఘ్ (ఆర్‌ఎస్‌ఎస్), బిజెపిలపై విరుచుకు పడ్డారు.",Telugu
1540,"ప్రకాష్ జవదేకర్ (స్వతంత్ర్య ) – సమాచార, ప్రసార శాఖ",Telugu
1764,తన రధం మార్చాడు.,Telugu
565,"സ്വർണ്ണവണ്ടി അവരുടെ അടുത്തേക്ക് കയറി വന്നു, അത് രത്നങ്ങളിലും വജ്രങ്ങളിലും പതിച്ചിരുന്നു.",Malayalam
1118,ನೀವು ದೂರವಾಣಿ ಕರೆಯಲ್ಲಿ ಬಳಸಲು ಸ್ಮಾರ್ಟ್ ಪದಗಳನ್ನು ಹುಡುಕುತ್ತಿದ್ದರೆ ನಾನು ವೀಡಿಯೊಗೆ ಲಿಂಕ್ ಅನ್ನು ಹಾಕುತ್ತಿದ್ದೇನೆ.,Kannada
498,"നിർഭാഗ്യവശാൽ, എനിക്ക് വേണ്ട എന്ന് പറയണം.",Malayalam
605,"2006-இல், டைம் சஞ்சிகை, உலகளவில் இணைய மக்கள் கூட்டுப் பங்களிப்பின் விரைவான வளர்ச்சிக்கு, யூடியூப், மைஸ்பேஸ் மற்றும் ஃபேஸ்புக் ஆகியவற்றுக்கு மேலதிகமாக, விக்கிப்பீடியாவினது பங்களிப்பையும் குறிப்பிட்டுள்ளது.",Tamil
768,சொற்றொடர் எண் ஒன்று இது கேட்க மற்றொரு வழி.,Tamil
304,നിങ്ങളുടെ ജീവിതത്തിൽ എന്താണ് സംഭവിക്കുന്നതെന്ന് നിങ്ങൾ ചോദിക്കുന്നു.,Malayalam
608,"[18][19][20] விக்கிப்பீடியாவின் திறந்த பாங்கு, பல்வேறு சிக்கல்களையும் உருவாக்கியுள்ளது.",Tamil
609,"இவற்றுள் கட்டுரைகளின் தரம்,[21] தேவையற்ற தொகுப்புக்கள்[22][23] மற்றும் தகவல்களின் துல்லியத்தன்மை போன்றவற்றைக் குறிப்பிடலாம்.",Tamil
1339,ವಿನಂತಿಗಳನ್ನು ಮಾಡುವುದು.,Kannada
305,എല്ലാം പോകുന്നുവെങ്കിൽ നിങ്ങൾ മുമ്പ് അവരെ വളർത്താൻ എന്താണ് ചെയ്തത്?,Malayalam
546,"അവളുടെ സൗന്ദര്യം ദൂരവ്യാപകമായി അറിയപ്പെട്ടിരുന്നെങ്കിലും അവൾ എല്ലാവരോടും വളരെ പരുഷമായി നിരസിച്ചു, എന്തുകൊണ്ടാണ് നിങ്ങൾ ഇന്നലെ ആ പുരുഷന്മാരെ പറഞ്ഞയച്ചത്?",Malayalam
1884,సంగారెడ్డి జిల్లా హరిదాస్‌పూర్ గ్రామంలో ఇది జరిగింది.,Telugu
936,நான் ஒப்புக்கொள்கிறேன் என்று எனக்குத் தெரியவில்லை.,Tamil
278,"ഇന്ന് എനിക്ക് എനർജി ഡ്രിങ്ക് ഉപയോഗിച്ച് ചെയ്യാൻ കഴിയും, മന്ദഗതിയിലുള്ള സ്ഥലത്ത് നിങ്ങൾക്ക് ഉപയോഗിക്കാൻ കഴിയുന്ന മറ്റ് വാക്കുകൾ അലസമോ എന്റെ കാലുകൾ വലിച്ചിടുന്നതോ ആകാം, അതിനാൽ അവ 10 മികച്ച വാക്കുകളും അതിനുമുമ്പും ആയിരുന്നു.",Malayalam
485,നാളത്തേക്ക് എന്തെങ്കിലും പദ്ധതികൾ ലഭിച്ചോ?,Malayalam
1638,ఏదైనా చేయాలి అనిపించేది.,Telugu
1391,"ಆ ಕ್ಷಣದಲ್ಲಿ ನಾರ್ಸಿಸಸ್ ತನ್ನ ನಿದ್ರೆಯಲ್ಲಿ ನಗಲು ಪ್ರಾರಂಭಿಸಿದಳು, ಮರುದಿನ ಬೆಳಿಗ್ಗೆ ನಾರ್ಸಿಸಸ್ ಬಂದಾಗ ಅವಳು ನಿಜವಾಗಿಯೂ ತಮಾಷೆಯ ಕನಸನ್ನು ಹೊಂದಿರಬೇಕು ಎಂದು ತಾಯಿ ತುಂಬಾ ಆಶ್ಚರ್ಯಪಟ್ಟರು.",Kannada
1614,అన్నీ ఒకటే రకం సినిమాలు.,Telugu
810,என்னை மன்னிக்கவும்.,Tamil
597,"[6] மேலும் இது கிட்டத்தட்ட 100,000 முனைப்பான பங்களிப்பாளர்களையும் கொண்டுள்ளது.",Tamil
674,"[65] தானியங்கிகள் எனப்படும் ‘கணினிச் செய்நிரல்கள்’ மூலமாக எளிமையான, மீண்டும் மீண்டும் செய்ய வேண்டிய பணிகள் செய்யப்படுகின்றன.",Tamil
1990,పోలీస్‌శాఖ,Telugu
14,ലോകം മുഴുവനും വ്യാപിച്ചു കിടക്കുന്ന സന്നദ്ധ സേവന  തൽപരരായ ഉപയോക്താക്കൾ  സഹകരണത്തോടെ പ്രവർത്തിച്ചാണ് വിക്കിപീഡിയയിൽ ലേഖനങ്ങൾ എഴുതുന്നത്‌.,Malayalam
875,"நீங்கள் என்னை மறைக்க முடியுமா, அது வெளியேற வேண்டிய நேரம் மற்றும் தோழர்களே நான் செல்வது நல்லது, அதாவது நான் ஏற்கனவே செல்ல வேண்டும்.",Tamil
1972,ప్రభుత్వ స్కూళ్లో చదివాం.,Telugu
51,വിക്കിപീഡിയ ഒരു ഓൺ‌ലൈൻ വിജ്ഞാനകോശമാണ്.,Malayalam
1282,ನೀವು ಅದನ್ನು ಪುನರಾವರ್ತಿಸಲು ಮನಸ್ಸು ಮಾಡುತ್ತೀರಾ?,Kannada
1470,ఆయనను త్వరపడనిమ్ము మేము ఆయన కార్యమును చూచునట్లు ఆయనను దానిని వెంటనే చేయనిమ్ము ఇశ్రాయేలుయొక్క పరిశుద్ధదేవుని ఆలోచన మాకు తెలియబడునట్లు అది మా యెదుట కనబడనిమ్ము,Telugu
695,"தற்போது இதில் 1,34,235 கட்டுரைகள் உள்ளன.",Tamil
351,"അസ്വസ്ഥനാകരുതെന്ന് ആ വ്യക്തിയോട് പറയാനുള്ള മറ്റൊരു മാർഗ്ഗം, കാര്യങ്ങൾ ശരിയാണെന്ന് തോന്നുന്നതുപോലെ സംഭവിക്കാം.",Malayalam
906,இந்த வார்த்தையின் அர்த்தம் என்னவென்று சொல்ல முடியுமா?,Tamil
169,പാർട്ടിപ്രവർത്തകൻ നേതാക്കന്മാരുടെ ജീവിതരേഖ കുറിക്കുന്നു.,Malayalam
1004,நான் அதைப் பற்றி மிகவும் வருந்துகிறேன்.,Tamil
1696,"30 లక్షలు, ప్రమాదవశాత్తు చనిపోతే రూ.",Telugu
440,ഞാൻ ഒരു നിമിഷം ചിന്തിക്കട്ടെ.,Malayalam
680,"[71] ஒரு புதியகட்டுரை, பெரும்பாலும் வரைவிலக்கணம் மற்றும் சில இணைப்புக்கள் மாத்திரமே கொண்ட ஒரு குறுங்கட்டுரையாகவே ஆரம்பிக்கப்படும்.",Tamil
705,"ஏய் ஏன் நீங்கள் எங்களுடன் ஹேங்கவுட் செய்யக்கூடாது என்று நீங்கள் அவர்களிடம் சொல்லலாம், நான் மிகவும் வருந்துகிறேன், ஆனால் நான் வேலையில் சிக்கியிருக்கிறேன் அல்லது சதுப்பு நிலத்தின் இடத்தில் நீங்கள் பயன்படுத்தக்கூடிய வேறு சில சொற்களை நான் சதுப்பு நிலமாகக் கொண்டுள்ளேன்.",Tamil
1376,"ಸರಿ, ಸಾಮಾನ್ಯ ವಾಕ್ಯಗಳು ಮತ್ತು ನುಡಿಗಟ್ಟುಗಳ ಕುರಿತು ಹೆಚ್ಚಿನ ಪಾಠಗಳನ್ನು ನೀವು ಬಯಸಿದರೆ ಕೆಳಗಿನ ಕಾಮೆಂಟ್‌ಗಳ ವಿಭಾಗದಲ್ಲಿ ನನಗೆ ತಿಳಿಸಿ.",Kannada
543,പാവയും ഏറ്റവും രസകരമായ ഭാഗവും നാർസിസ നിങ്ങൾ ആഗ്രഹിക്കുന്നിടത്തോളം അവൾ സ്വയം സ്നേഹിക്കുന്നു എന്നതാണ്.,Malayalam
